user_name,user_location,user_description,user_verified,date,text,hashtags,source
MICAHCONDRIA,,:Connection Terminated: Graphic Design professional and Rising content creator: Eccentric personality: Commissions Open :) you wanna buy my art.,False,2022-06-13 23:33:22+00:00,"Listen, I’m being serious @AmongUsGame and @NintendoAmerica I think a crossover would be epic ((artwork by me))

#AmongUs #AmongUsFanArt #imposter #sus #epicgames #nintendo #NintendoSwitch #mario #supermario #shyguy #luigi #MarioStrikers #art #fanart #digitalart https://t.co/HI3K8k3AZU",,Twitter for iPhone
Joshua Aitchison,"Missouri, USA","Writer, Dreamer, Rock music connoiseur, Wearer of awesome socks",False,2022-06-13 23:20:46+00:00,"Every time I think about submitting a piece of work I am immediately seized by a massive bout of imposter syndrome. I have yet to ever submit anything in my life. 
#imposter #inmyhead #writingcommunity",,Twitter for Android
DamnDaniel,,Gamers Streamers United judgment free zone welcome https://t.co/PavU4Bm7ui https://t.co/17ORuAMDs9,False,2022-06-13 21:44:59+00:00,@Moorpheen1 You don’t you completely immerse yourself as that character become that character so that no one can tell the difference #imposter,,Twitter for iPhone
🌻 Justice Matters ⚖🌟🇺🇸,,"Biden/Harris 🌟🇺🇸🌊 
#Resist ✊ #Resistance 🔥 
#Independent #DemandJustice
#StandWithUkraine #StopPutin 
Justice Delayed Is Justice Denied",False,2022-06-13 21:20:40+00:00,"@atrupar #Imposter #Manchin
Maybe DEMs &amp; Independents should start moving to these areas to race against these clowns. REPs are doing it from other states (Dr Oz)","['Imposter', 'Manchin']",Twitter Web App
Edris Idris,"Uptown DC, Downtown Kabul ",@AYCEEO1 l MBA @aueae,False,2022-06-13 20:02:07+00:00,"What could be reputation of an #imposter that swindled $$$ from the very same people that gave name and fame? 

You will earn true reputation 👞 on day https://t.co/zrJEoHeHA2",['imposter'],Twitter for iPhone
Kirsty,"Andover, England",Counselling student. Fortnite mum. Supernatural mega fan! ⭐️,False,2022-06-13 19:07:58+00:00,Playing #fortnite imposter mode with the kids is rubbish. The second one of them is the imposter they make it their mission to track me (and only me) down 😆 #fortniteimpostors #imposter https://t.co/UwSFbVoRjp,['fortnite'],Instagram
MICAHCONDRIA,,:Connection Terminated: Graphic Design professional and Rising content creator: Eccentric personality: Commissions Open :) you wanna buy my art.,False,2022-06-13 16:56:38+00:00,"Okay listen @AmongUsGame I’m not saying it’s a good idea… I’m saying it’s a GREAT IDEA @NintendoAmerica 

#amongus #AmongUsFanArt #fanart #art #digitalart #graphicdesign #Nintendo #sonicexe #Eggman #aesthetic #procreate #imposter #FortniteChapter3Season3 https://t.co/HWWCOaysdI",['amongus'],Twitter for iPhone
Legion of Hyperobservant Sewer Rats,The sewers 😱,"memes,life advice,wisdom,🗿, jokes, music, movies,👹, people, places, things, fanfic, sports, tv shows,🦧, society, love, acceptance, and wholesome content, ☠️",False,2022-06-13 13:31:03+00:00,"Jesus and his impostles 
#Jesus #imposter #amongus #sussy #AUUUUUGGGHHGHH #Mewtwo #Markiplier #Minecraft2 #BetterCallSaul #AllAbout18 #CelticsVsWarriors https://t.co/vg1RiuiNMC","['Jesus', 'imposter', 'amongus', 'sussy', 'AUUUUUGGGHHGHH', 'Mewtwo', 'Markiplier', 'Minecraft2']",Twitter for iPhone
Dolores Cossette,,don't just aspire to make a living aspire to make a difference,False,2022-06-13 13:03:30+00:00,"RT @greenlandhull58: ""Trump's Lies"": The Collected Works

https://t.co/vMzqtcF4D9 via @commondreams 
#jan6Justice #trumpliedpeopledied #usa…","['jan6Justice', 'trumpliedpeopledied', 'usa']",Twitter Web App
Buckshot Busby,Florida ,#MAGA #ConstitutionalConservative #Trump2024 #Retired #DDSMS #Endodontist #TruthSocial = @Jabberwocky44 #TrumpWon ▶️#2020,False,2022-06-13 13:02:01+00:00,#Trump would turn this country around in #90 days. #Impeach the #imposter and install the real winner of the 2020.,"['Trump', 'Impeach', 'imposter']",Twitter for iPhone
Cluster of Excellence PhoenixD,Hannover,"This is the Cluster of Excellence PhoenixD: Photonics, Optics, and Engineering - Innovation Across Disciplines (https://t.co/B0UuURlyfo).",False,2022-06-13 10:54:33+00:00,"#Career Advice from #scientists at #HumboldtMeetsLeibniz: #Imposter Syndrome is common among PhD students, says Hans-Albert Bachor (Australian National University). Find a person you trust and work through it! #HmL #LUH @Hannoverscience @AvHStiftung @VolkswagenSt  #phdchat https://t.co/tkPL1z9Zlu","['Career', 'scientists', 'HumboldtMeetsLeibniz', 'Imposter']",Twitter Web App
Yvonne Couch,,Freelance neuroimmunologist,False,2022-06-13 09:39:26+00:00,"re-writing my CV on the advice of a good friend because apparently two pages of ultra-squashed text was not readable or nice

we're now at 6 pages and it feels uncomfortably self-indulgent...

#AcademicChatter #Imposter",,Twitter Web App
David Law,"San Francisco, CA",Photographer and Videographer with a background in Finance based in San Francisco,False,2022-06-13 07:08:06+00:00,@OGStarwarsAB One of them is an #imposter https://t.co/QCEpdGJGvc,['imposter'],Twitter Web App
